"utterance","prior","speaker_belief","speaker_prob"
"know-dances-?","Charley_H",0,0.00018247514163676
"know-dances-?","Charley_H",3,0.000729822527339462
"know-dances-?","Charley_H",4,0.00182416540497645
"know-dances-?","Charley_H",5,0.00164018692554286
"know-dances-?","Charley_H",6,0.0290149590015428
"know-dances-?","Charley_H",7,0.255329704392753
"know-dances-?","Charley_H",8,0.347435314931862
"know-dances-?","Charley_H",9,0.363843371674347
"know-dances-?","Charley_L",0,0.0129995169014873
"know-dances-?","Charley_L",1,0.0152591986772738
"know-dances-?","Charley_L",2,0.0123965510867741
"know-dances-?","Charley_L",3,0.0117934234635787
"know-dances-?","Charley_L",4,0.00696256961569764
"know-dances-?","Charley_L",5,0.00376512676036082
"know-dances-?","Charley_L",6,0.0406512568593163
"know-dances-?","Charley_L",7,0.225894911646989
"know-dances-?","Charley_L",8,0.325573137798452
"know-dances-?","Charley_L",9,0.344704307190071
"know-dances-?","Danny_H",1,0.000685667505154044
"know-dances-?","Danny_H",2,0.000171435001323944
"know-dances-?","Danny_H",3,0.00102842887986814
"know-dances-?","Danny_H",4,0.00547993826507292
"know-dances-?","Danny_H",5,0.0153809499296069
"know-dances-?","Danny_H",6,0.0228686254564411
"know-dances-?","Danny_H",7,0.239441318482455
"know-dances-?","Danny_H",8,0.353941055030889
"know-dances-?","Danny_H",9,0.361002581449189
"know-dances-?","Danny_L",0,0.0164541249444748
"know-dances-?","Danny_L",1,0.0166059139680418
"know-dances-?","Danny_L",2,0.0123519214008038
"know-dances-?","Danny_L",3,0.00854686416687884
"know-dances-?","Danny_L",4,0.00458273145648299
"know-dances-?","Danny_L",5,0.0036960287823914
"know-dances-?","Danny_L",6,0.0345795221263864
"know-dances-?","Danny_L",7,0.233928128229463
"know-dances-?","Danny_L",8,0.326632686895802
"know-dances-?","Danny_L",9,0.342622078029275
"know-dances-?","Emily_H",0,0.00345981978101448
"know-dances-?","Emily_H",1,0.00214239063993816
"know-dances-?","Emily_H",2,0.00543458640838121
"know-dances-?","Emily_H",3,0.00559907572512305
"know-dances-?","Emily_H",4,0.0134811069898053
"know-dances-?","Emily_H",5,0.0176406244927837
"know-dances-?","Emily_H",6,0.0316842194737383
"know-dances-?","Emily_H",7,0.221787997538558
"know-dances-?","Emily_H",8,0.340990677055833
"know-dances-?","Emily_H",9,0.357779501894825
"know-dances-?","Emily_L",0,0.0395437574986821
"know-dances-?","Emily_L",1,0.0117139755277242
"know-dances-?","Emily_L",2,0.00661560132487686
"know-dances-?","Emily_L",3,0.00255840071398305
"know-dances-?","Emily_L",4,0.00120432595829652
"know-dances-?","Emily_L",5,0.0014289192535841
"know-dances-?","Emily_L",6,0.0354127687831155
"know-dances-?","Emily_L",7,0.250625266050375
"know-dances-?","Emily_L",8,0.317626177255273
"know-dances-?","Emily_L",9,0.33327080763409
"know-dances-?","Emma_H",1,0.000684796947777286
"know-dances-?","Emma_H",2,0.000513615482520816
"know-dances-?","Emma_H",3,0.00222489659457532
"know-dances-?","Emma_H",4,0.0032510964968652
"know-dances-?","Emma_H",5,0.0115855490570131
"know-dances-?","Emma_H",6,0.0200241580476691
"know-dances-?","Emma_H",7,0.246891805471532
"know-dances-?","Emma_H",8,0.344669962337005
"know-dances-?","Emma_H",9,0.370154119565043
"know-dances-?","Emma_L",0,0.0176734566969259
"know-dances-?","Emma_L",1,0.0154315634133994
"know-dances-?","Emma_L",2,0.00997793138000078
