item,content,prior_type,state,n,prop,state,prop,state,prop
Charley_H,Charley speaks Spanish,factH,1,1,0.002380952,doesnt_dance,0.019047619,doesnt_dance,0.00952381
Charley_H,Charley speaks Spanish,factH,2,0,0,null,0.052380952,null,0.061904762
Charley_H,Charley speaks Spanish,factH,3,3,0.007142857,dances,0.928571429,dances,0.928571429
Charley_H,Charley speaks Spanish,factH,4,4,0.00952381,,,,
Charley_H,Charley speaks Spanish,factH,5,10,0.023809524,,,,
Charley_H,Charley speaks Spanish,factH,6,12,0.028571429,,,,
Charley_H,Charley speaks Spanish,factH,7,26,0.061904762,,,,
Charley_H,Charley speaks Spanish,factH,8,65,0.154761905,,,,
Charley_H,Charley speaks Spanish,factH,9,103,0.245238095,,,,
Charley_H,Charley speaks Spanish,factH,10,196,0.466666667,,,,
,,,,420,,,,,
Charley_L,Charley speaks Spanish,factL,1,86,0.192825112,doesnt_dance,0.778026906,doesnt_dance,0.603139013
Charley_L,Charley speaks Spanish,factL,2,101,0.226457399,null,0.17264574,null,0.347533632
Charley_L,Charley speaks Spanish,factL,3,82,0.183856502,dances,0.049327354,dances,0.049327354
Charley_L,Charley speaks Spanish,factL,4,78,0.174887892,,,,
Charley_L,Charley speaks Spanish,factL,5,46,0.103139013,,,,
Charley_L,Charley speaks Spanish,factL,6,31,0.069506726,,,,
Charley_L,Charley speaks Spanish,factL,7,5,0.011210762,,,,
Charley_L,Charley speaks Spanish,factL,8,10,0.022421525,,,,
Charley_L,Charley speaks Spanish,factL,9,5,0.011210762,,,,
Charley_L,Charley speaks Spanish,factL,10,2,0.004484305,,,,
,,,,446,,,,,
Danny_H,Danny ate the last cupcake,factH,1,1,0.002347418,doesnt_dance,0.028169014,doesnt_dance,0.014084507
Danny_H,Danny ate the last cupcake,factH,2,4,0.009389671,null,0.286384977,null,0.300469484
Danny_H,Danny ate the last cupcake,factH,3,1,0.002347418,dances,0.685446009,dances,0.685446009
Danny_H,Danny ate the last cupcake,factH,4,6,0.014084507,,,,
Danny_H,Danny ate the last cupcake,factH,5,32,0.075117371,,,,
Danny_H,Danny ate the last cupcake,factH,6,90,0.211267606,,,,
Danny_H,Danny ate the last cupcake,factH,7,82,0.192488263,,,,
Danny_H,Danny ate the last cupcake,factH,8,97,0.227699531,,,,
Danny_H,Danny ate the last cupcake,factH,9,66,0.154929577,,,,
Danny_H,Danny ate the last cupcake,factH,10,47,0.110328638,,,,
,,,,426,,,,,
Danny_L,Danny ate the last cupcake,factL,1,108,0.245454545,doesnt_dance,0.804545455,doesnt_dance,0.677272727
Danny_L,Danny ate the last cupcake,factL,2,109,0.247727273,null,0.131818182,null,0.259090909
Danny_L,Danny ate the last cupcake,factL,3,81,0.184090909,dances,0.063636364,dances,0.127272727
Danny_L,Danny ate the last cupcake,factL,4,56,0.127272727,,,,
Danny_L,Danny ate the last cupcake,factL,5,30,0.068181818,,,,
Danny_L,Danny ate the last cupcake,factL,6,28,0.063636364,,,,
Danny_L,Danny ate the last cupcake,factL,7,11,0.025,,,,
Danny_L,Danny ate the last cupcake,factL,8,6,0.013636364,,,,
Danny_L,Danny ate the last cupcake,factL,9,7,0.015909091,,,,
Danny_L,Danny ate the last cupcake,factL,10,4,0.009090909,,,,
,,,,440,,,,,
Emily_H,Emily bought a car yesterday,factH,1,21,0.048837209,doesnt_dance,0.234883721,doesnt_dance,0.155813953
Emily_H,Emily bought a car yesterday,factH,2,13,0.030232558,null,0.444186047,null,0.523255814
Emily_H,Emily bought a car yesterday,factH,3,33,0.076744186,dances,0.320930233,dances,0.574418605
Emily_H,Emily bought a car yesterday,factH,4,34,0.079069767,,,,
Emily_H,Emily bought a car yesterday,factH,5,82,0.190697674,,,,
Emily_H,Emily bought a car yesterday,factH,6,109,0.253488372,,,,
Emily_H,Emily bought a car yesterday,factH,7,57,0.13255814,,,,
Emily_H,Emily bought a car yesterday,factH,8,37,0.086046512,,,,
Emily_H,Emily bought a car yesterday,factH,9,19,0.044186047,,,,
Emily_H,Emily bought a car yesterday,factH,10,25,0.058139535,,,,
,,,,430,,,,,
Emily_L,Emily bought a car yesterday,factL,1,265,0.607798165,doesnt_dance,0.926605505,doesnt_dance,0.887614679
Emily_L,Emily bought a car yesterday,factL,2,78,0.178899083,null,0.04587156,null,0.084862385
Emily_L,Emily bought a car yesterday,factL,3,44,0.100917431,dances,0.027522936,dances,0.055045872
Emily_L,Emily bought a car yesterday,factL,4,17,0.038990826,,,,
Emily_L,Emily bought a car yesterday,factL,5,8,0.018348624,,,,
