"utterance","item","ah_belief","prob"
"know-dances-?","Charley_H","dances",0.79908999805476
"know-dances-?","Charley_H","doesnt_dance",0.194021943163393
"know-dances-?","Charley_H","null",0.00688805878184693
"know-dances-?","Charley_L","dances",0.275808076415093
"know-dances-?","Charley_L","doesnt_dance",0.719649368543787
"know-dances-?","Charley_L","null",0.00454255504112054
"know-dances-?","Danny_H","dances",0.692465612181036
"know-dances-?","Danny_H","doesnt_dance",0.300939108433217
"know-dances-?","Danny_H","null",0.00659527938574713
"know-dances-?","Danny_L","dances",0.27865192649496
"know-dances-?","Danny_L","doesnt_dance",0.716782134929594
"know-dances-?","Danny_L","null",0.00456593857544621
"know-dances-?","Emily_H","dances",0.558110081796099
"know-dances-?","Emily_H","doesnt_dance",0.435754329005134
"know-dances-?","Emily_H","null",0.00613558919876703
"know-dances-?","Emily_L","dances",0.151165945623765
"know-dances-?","Emily_L","doesnt_dance",0.845605137787617
"know-dances-?","Emily_L","null",0.00322891658861802
"know-dances-?","Emma_H","dances",0.676307603504285
"know-dances-?","Emma_H","doesnt_dance",0.317146389035976
"know-dances-?","Emma_H","null",0.0065460074597397
"know-dances-?","Emma_L","dances",0.321517615936244
"know-dances-?","Emma_L","doesnt_dance",0.673589214910745
"know-dances-?","Emma_L","null",0.00489316915301081
"know-dances-?","Frank_H","dances",0.675273003992575
"know-dances-?","Frank_H","doesnt_dance",0.31818419283047
"know-dances-?","Frank_H","null",0.00654280317695584
"know-dances-?","Frank_L","dances",0.16906315813648
"know-dances-?","Frank_L","doesnt_dance",0.827475653227483
"know-dances-?","Frank_L","null",0.00346118863603706
"know-dances-?","Grace_H","dances",0.784731180927358
"know-dances-?","Grace_H","doesnt_dance",0.208417231622293
"know-dances-?","Grace_H","null",0.00685158745034945
"know-dances-?","Grace_L","dances",0.246707443584577
"know-dances-?","Grace_L","doesnt_dance",0.749002992476121
"know-dances-?","Grace_L","null",0.00428956393930195
"know-dances-?","Isabella_H","dances",0.514622663077601
"know-dances-?","Isabella_H","doesnt_dance",0.479419637129556
"know-dances-?","Isabella_H","null",0.00595769979284296
"know-dances-?","Isabella_L","dances",0.125454206798554
"know-dances-?","Isabella_L","doesnt_dance",0.87168644260584
"know-dances-?","Isabella_L","null",0.00285935059560635
"know-dances-?","Jackson_H","dances",0.769685621688759
"know-dances-?","Jackson_H","doesnt_dance",0.223501924751654
"know-dances-?","Jackson_H","null",0.00681245355958651
"know-dances-?","Jackson_L","dances",0.185333727562502
"know-dances-?","Jackson_L","doesnt_dance",0.811009243995036
"know-dances-?","Jackson_L","null",0.00365702844246199
"know-dances-?","Jayden_H","dances",0.683277073839328
"know-dances-?","Jayden_H","doesnt_dance",0.310155489710638
"know-dances-?","Jayden_H","null",0.00656743645003372
"know-dances-?","Jayden_L","dances",0.174979430818666
"know-dances-?","Jayden_L","doesnt_dance",0.821486576121343
"know-dances-?","Jayden_L","null",0.00353399305999102
"know-dances-?","Jon_H","dances",0.75082584104147
"know-dances-?","Jon_H","doesnt_dance",0.242412146280855
"know-dances-?","Jon_H","null",0.00676201267767451
"know-dances-?","Jon_L","dances",0.234711613926853
"know-dances-?","Jon_L","doesnt_dance",0.761111021055743
"know-dances-?","Jon_L","null",0.00417736501740448
"know-dances-?","Josh_H","dances",0.541270303403611
"know-dances-?","Josh_H","doesnt_dance",0.452661003382062
"know-dances-?","Josh_H","null",0.00606869321432761
"know-dances-?","Josh_L","dances",0.235924860810763
"know-dances-?","Josh_L","doesnt_dance",0.759886199763711
"know-dances-?","Josh_L","null",0.00418893942552588
"know-dances-?","Josie_H","dances",0.72852524419739
