"utterance","item","speaker_belief","prob"
"know-doesnt_dance-?","Charley_H",0.1,0.999999748260734
"think-doesnt_dance-?","Charley_H",0.1,2.34953460149611e-07
"think-dances-?","Charley_H",0.1,1.64032234543693e-08
"BARE-dances-?","Charley_H",0.1,3.82582471238934e-10
"know-doesnt_dance-?","Danny_H",0.1,0.99999871233494
"think-dances-?","Danny_H",0.1,1.1521421644432e-06
"BARE-dances-?","Danny_H",0.1,6.77614476001406e-08
"think-doesnt_dance-?","Danny_H",0.1,6.77614476001406e-08
"know-doesnt_dance-?","Emily_H",0.1,0.999064423463896
"think-doesnt_dance-?","Emily_H",0.1,0.000502172270764905
"think-dances-?","Emily_H",0.1,0.000432649702870228
"BARE-dances-?","Emily_H",0.1,7.54562469203984e-07
"know-doesnt_dance-?","Emma_H",0.1,0.9999995964878
"think-doesnt_dance-?","Emma_H",0.1,2.01756100228093e-07
"think-dances-?","Emma_H",0.1,2.01756100228093e-07
"know-doesnt_dance-?","Frank_H",0.1,0.999997336833509
"think-dances-?","Frank_H",0.1,1.61309887060897e-06
"think-doesnt_dance-?","Frank_H",0.1,1.05006762036383e-06
"know-doesnt_dance-?","Grace_H",0.1,0.999999934834041
"think-dances-?","Grace_H",0.1,6.51659592480927e-08
"know-doesnt_dance-?","Isabella_H",0.1,0.999938655819271
"think-doesnt_dance-?","Isabella_H",0.1,3.25467851913448e-05
"think-dances-?","Isabella_H",0.1,2.87953125430497e-05
"BARE-dances-?","Isabella_H",0.1,2.08299425224607e-09
"know-doesnt_dance-?","Jackson_H",0.1,0.99999738377247
"think-doesnt_dance-?","Jackson_H",0.1,2.59960257383039e-06
"think-dances-?","Jackson_H",0.1,1.56249591214449e-08
"BARE-dances-?","Jackson_H",0.1,9.99997383772472e-10
"know-doesnt_dance-?","Jayden_H",0.1,0.999925242685467
"think-doesnt_dance-?","Jayden_H",0.1,5.50658973576016e-05
"think-dances-?","Jayden_H",0.1,1.93168502545145e-05
"BARE-dances-?","Jayden_H",0.1,3.74566920413509e-07
"know-doesnt_dance-?","Jon_H",0.1,0.999999396335136
"think-doesnt_dance-?","Jon_H",0.1,3.43772701550036e-07
"think-dances-?","Jon_H",0.1,2.50610299429975e-07
"BARE-dances-?","Jon_H",0.1,9.28186294185093e-09
"know-doesnt_dance-?","Josh_H",0.1,0.999275333162306
"think-doesnt_dance-?","Josh_H",0.1,0.000364559817195934
