"utterance","item","speaker_belief","prob"
"BARE-dances-?","Charley_H","dances",0.878602162214356
"BARE-dances-?","Charley_H","doesnt_dance",0.121397837785644
"BARE-dances-?","Charley_L","dances",0.210231070857073
"BARE-dances-?","Charley_L","doesnt_dance",0.789768929142927
"BARE-dances-?","Danny_H","dances",0.757213344038092
"BARE-dances-?","Danny_H","doesnt_dance",0.242786655961907
"BARE-dances-?","Danny_L","dances",0.213613375036665
"BARE-dances-?","Danny_L","doesnt_dance",0.786386624963335
"BARE-dances-?","Emily_H","dances",0.581994634483763
"BARE-dances-?","Emily_H","doesnt_dance",0.418005365516236
"BARE-dances-?","Emily_L","dances",0.079156861911315
"BARE-dances-?","Emily_L","doesnt_dance",0.920843138088685
"BARE-dances-?","Emma_H","dances",0.737100096928612
"BARE-dances-?","Emma_H","doesnt_dance",0.262899903071388
"BARE-dances-?","Emma_L","dances",0.266102961893554
"BARE-dances-?","Emma_L","doesnt_dance",0.733897038106445
"BARE-dances-?","Frank_H","dances",0.73580048593303
"BARE-dances-?","Frank_H","doesnt_dance",0.26419951406697
"BARE-dances-?","Frank_L","dances",0.0954586541606235
"BARE-dances-?","Frank_L","doesnt_dance",0.904541345839376
"BARE-dances-?","Grace_H","dances",0.863668477224794
"BARE-dances-?","Grace_H","doesnt_dance",0.136331522775206
"BARE-dances-?","Grace_L","dances",0.176449673765593
"BARE-dances-?","Grace_L","doesnt_dance",0.823550326234407
"BARE-dances-?","Isabella_H","dances",0.522945354162404
"BARE-dances-?","Isabella_H","doesnt_dance",0.477054645837596
"BARE-dances-?","Isabella_L","dances",0.057666775935331
"BARE-dances-?","Isabella_L","doesnt_dance",0.942333224064669
"BARE-dances-?","Jackson_H","dances",0.847478405639658
"BARE-dances-?","Jackson_H","doesnt_dance",0.152521594360342
"BARE-dances-?","Jackson_L","dances",0.111134706313894
"BARE-dances-?","Jackson_L","doesnt_dance",0.888865293686106
"BARE-dances-?","Jayden_H","dances",0.745818675577446
"BARE-dances-?","Jayden_H","doesnt_dance",0.254181324422554
