workerid,proliferate.condition,ah_response,item,object,predicate,prior_condition,prior_fact,prior_rating,question_order,response,rt,slide_number_in_experiment,speaker_response,text,trigger,trigger_class,utterance,error
875,condition1,,,Barbara,,,,,,Barbara,0,1,,bot_check,,,,
875,condition1,,pizza,,MC,neutral,Pizza is sold at the pizzeria,0,ah_first,,12946,4,0.9,,MC,Filler,This pizza has mushrooms on it.,
875,condition1,0.94,josh,,inform,high_prob,Josh is a 5-year old boy,0.544575163398693,ah_first,,55881,5,0.93,,inform_neg,Control,"<font color=""red"">Sharon</font> informed Sam that Josh didn't learn to ride a bike yesterday.",
875,condition1,0.7,julian,,think,high_prob,Julian is Cuban,0.599493670886076,ah_first,,38612,6,0.53,,think_pos,Critical,"<font color=""red"">Ronald</font> thinks that Julian dances salsa.",
875,condition1,,zoe,,Polar,high_prob,Zoe is a math major,0.745971223021583,ah_first,,15616,7,0.92,,bare_neg,Critical,Zoe didn't calculate the tip.,
875,condition1,0.98,olivia,,know,low_prob,Olivia has two small children,0.210592105263158,ah_first,,22911,8,0.98,,know_neg,Critical,"<font color=""red"">Amanda</font> knows that Olivia doesn't sleep until noon.",
875,condition1,1,danny,,inform,low_prob,Danny is a diabetic,0.27993006993007,ah_first,,34055,9,0.74,,inform_neg,Control,"<font color=""red"">Shirley</font> informed Sam that Danny didn't eat the last cupcake.",
875,condition1,0.06,mary,,say,low_prob,Mary is a middle school student,0.225401459854015,ah_first,,27375,10,0.08,,say_pos,Control,"<font color=""red"">Jacob</font> said that Mary is pregnant.",
875,condition1,0.9,josie,,say,low_prob,Josie doesn't have a passport,0.117286821705426,ah_first,,31159,11,0.9,,say_neg,Control,"<font color=""red"">Carol</font> said that Josie didn't go on vacation to France.",
875,condition1,0.75,sophia,,say,high_prob,Sophia is a hipster,0.634248366013072,ah_first,,23120,12,0.53,,say_neg,Control,"<font color=""red"">Deborah</font> said that Sophia didn't get a tattoo.",
875,condition1,,ballet,,MC,neutral,Ballet is a type of dance,0,ah_first,,12646,13,0.96,,MC,Filler,Ann dances ballet.,
875,condition1,,garage,,MC,neutral,Garages are used to store cars and other things,0,ah_first,,13210,14,0.98,,MC,Filler,Carl's kids were in the garage.,
875,condition1,0.48,mia,,know,high_prob,Mia is a college student,0.579022556390977,ah_first,,67028,15,0.94,,know_neg,Critical,"<font color=""red"">Timothy</font> knows that Mia didn't drink 2 cocktails last night.",
875,condition1,,muffins,,MC,neutral,Muffins are sold at the bakery,0,ah_first,,10129,16,0.92,,MC,Filler,These muffins have blueberries in them.,
875,condition1,0.99,frank,,inform,low_prob,Frank is allergic to cats,0.16965034965035,ah_first,,23192,17,0.64,,inform_pos,Control,"<font color=""red"">Jeffrey</font> informed Sam that Frank got a cat.",
875,condition1,0.96,jackson,,inform,high_prob,Jackson is training for a marathon,0.774965034965035,ah_first,,18774,18,0.84,,inform_pos,Control,"<font color=""red"">Gary</font> informed Sam that Jackson ran 10 miles.",
875,condition1,0.95,isabella,,say,high_prob,Isabella is from Argentina,0.517707006369427,ah_first,,23242,19,0.92,,say_pos,Control,"<font color=""red"">Jason</font> said that Isabella ate a steak on Sunday.",
875,condition1,,jayden,,Polar,low_prob,Jayden doesn't have a driver's license,0.1756,ah_first,,22859,20,0.99,,bare_pos,Critical,Jayden rented a car.,
