workerid,proliferate.condition,belief_response,certainty_question,certainty_response,content,object,prior,prior_fact,response,rt,slide_number_in_experiment,trigger,trigger_class,utterance,error
43,condition1,,,,,Sarah,,,Sarah,0,1,,,bot_check,
43,condition1,0.48,How certain is Michelle that Grace didn't visit her sister?,0.46,grace,,0.790144927536232,Grace loves her sister,,35614,4,simple_polar,Critical,,
43,condition1,0.49,How certain is Julie that these muffins don't have blueberries in them?,0.3,muffins,,0,Muffins are sold at the bakery,,29353,5,MC,Control,,
43,condition1,0.28,How certain is Betty that Jon doesn't walk to work?,0.62,jon,,0.7559375,Jon lives 2 blocks away from work,,29704,6,say_pos,Critical,,
43,condition1,0.71,How certain is Joyce that Owen shoveled snow last winter?,0.61,owen,,0.74648275862069,Owen lives in Chicago,,44016,7,simple_polar,Critical,,
43,condition1,0.48,How certain is Kenneth that Frank got a cat?,0.45,frank,,0.32027972027971996,Frank has always wanted a pet,,16423,8,confirm_neg,Critical,,
43,condition1,0.72,How certain is Ryan that Jackson ran 10 miles?,0.54,jackson,,0.774965034965035,Jackson is training for a marathon,,22826,9,think_pos,Critical,,
43,condition1,0.35,How certain is Jeffrey that Ann doesn't dance ballet?,0.38,ballet,,0,Ballet is a type of dance,,75245,10,MC,Control,,
43,condition1,0.29,How certain is Jennifer that Carl's kids weren't in the garage?,0.6,garage,,0,Garages are used to store cars and other things,,61154,11,MC,Control,,
43,condition1,0.83,How certain is Kevin that Danny ate the last cupcake?,0.73,danny,,0.697062937062937,Danny loves cake,,14695,12,confirm_pos,Critical,,
43,condition1,0.55,How certain is Donald that Jack was playing outside with the kids?,0.53,kids,,0,Many children like ice cream,,22096,13,MC,Control,,
43,condition1,0.71,How certain is George that Josie didn't go on vacation to France?,0.4,josie,,0.26656050955414,Josie loves France,,17607,14,say_neg,Critical,,
43,condition1,0.5,How certain is Nancy that this pizza doesn't have mushrooms on it?,0.51,pizza,,0,Pizza is sold at the pizzeria,,16728,15,MC,Control,,
43,condition1,0.79,How certain is Brenda that Mary is pregnant?,0.73,mary,,0.815167785234899,Mary is taking a prenatal yoga class,,13768,16,inform_pos,Critical,,
43,condition1,0.44,How certain is Brandon that Zoe calculated the tip?,0.41,zoe,,0.25402877697841697,Zoe is a math major,,13665,17,think_neg,Critical,,
43,condition1,0.69,How certain is Jacob that Jayden rented a car?,0.59,jayden,,0.687794117647059,Jayden's car is in the shop,,14126,18,know_pos,Critical,,
43,condition1,0.33,How certain is Daniel that Charley speaks Spanish?,0.7,charley,,0.19536764705882304,Charley lives in Mexico,,82933,19,inform_neg,Critical,,
43,condition1,0.28,How certain is Ruth that Tony had a drink last night?,0.76,tony,,0.252720588235294,Tony really likes to party with his friends,,86644,20,know_neg,Critical,,
43,condition1,0.51,How certain is Donna that Samantha has a new hat?,0.46,hat,,0,Hats are worn on the head,,15936,21,MC,Control,,
70,condition1,,,,,Elizabeth,,,Elizabeth,0,1,,,bot_check,
70,condition1,0.52,How certain is Ryan that this pizza has mushrooms on it?,0.18,pizza,,0,Pizza is sold at the pizzeria,,27593,4,MC,Control,,
70,condition1,0.95,How certain is Jeffrey that Jackson didn't run 10 miles?,0.79,jackson,,0.225034965034965,Jackson is training for a marathon,,37767,5,know_neg,Critical,,
70,condition1,0.51,How certain is Nicole that Mary is pregnant?,0.43,mary,,0.815167785234899,Mary is taking a prenatal yoga class,,24868,6,simple_polar,Critical,,
70,condition1,0.51,How certain is Ruth that Carl's kids were in the garage?,0.37,garage,,0,Garages are used to store cars and other things,,14745,7,MC,Control,,
70,condition1,0.51,How certain is Matthew that Danny ate the last cupcake?,0.36,danny,,0.697062937062937,Danny loves cake,,24064,8,say_pos,Critical,,
70,condition1,0.5,How certain is Carolyn that these muffins don't have blueberries in them?,0.24,muffins,,0,Muffins are sold at the bakery,,12637,9,MC,Control,,
70,condition1,0.52,How certain is Dorothy that Grace visited her sister?,0.23,grace,,0.790144927536232,Grace loves her sister,,18200,10,think_pos,Critical,,
70,condition1,0.52,How certain is Joyce that Tony had a drink last night?,0.2,tony,,0.747279411764706,Tony really likes to party with his friends,,17667,11,confirm_pos,Critical,,
70,condition1,0.5,How certain is Paul that Ann doesn't dance ballet?,0.19,ballet,,0,Ballet is a type of dance,,57878,12,MC,Control,,
70,condition1,0.71,How certain is Kathleen that Jon walks to work?,0.68,jon,,0.7559375,Jon lives 2 blocks away from work,,62697,13,inform_pos,Critical,,
70,condition1,0.52,How certain is Edward that Owen shoveled snow last winter?,0.21,owen,,0.74648275862069,Owen lives in Chicago,,14655,14,simple_polar,Critical,,
70,condition1,0.87,How certain is Jennifer that Charley doesn't speak Spanish?,0.8,charley,,0.19536764705882304,Charley lives in Mexico,,14841,15,say_neg,Critical,,
70,condition1,0.51,How certain is Diane that Jack was playing outside with the kids?,0.19,kids,,0,Many children like ice cream,,14560,16,MC,Control,,
70,condition1,0.78,How certain is Melissa that Jayden rented a car?,0.68,jayden,,0.687794117647059,Jayden's car is in the shop,,15902,17,know_pos,Critical,,
70,condition1,0.55,How certain is Jason that Josie didn't go on vacation to France?,0.41,josie,,0.26656050955414,Josie loves France,,29016,18,inform_neg,Critical,,
70,condition1,0.51,How certain is Patrick that Frank didn't get a cat?,0.25,frank,,0.32027972027971996,Frank has always wanted a pet,,24206,19,confirm_neg,Critical,,
70,condition1,0.51,How certain is Timothy that Samantha has a new hat?,0.18,hat,,0,Hats are worn on the head,,10112,20,MC,Control,,
70,condition1,0.52,How certain is Nancy that Zoe didn't calculate the tip?,0.3,zoe,,0.25402877697841697,Zoe is a math major,,21802,21,think_neg,Critical,,
35,condition1,,,,,Barbara,,,Barbara,0,1,,,bot_check,
35,condition1,0.75,How certain is Melissa that Frank got a cat?,0.73,frank,,0.67972027972028,Frank has always wanted a pet,,29420,4,say_pos,Critical,,
35,condition1,0.47,How certain is Raymond that Jack wasn't playing outside with the kids?,0.23,kids,,0,Many children like ice cream,,26287,5,MC,Control,,
35,condition1,0.48,How certain is Brian that Samantha doesn't have a new hat?,0.49,hat,,0,Hats are worn on the head,,13708,6,MC,Control,,
35,condition1,0.84,How certain is Jason that Zoe didn't calculate the tip?,0.86,zoe,,0.25402877697841697,Zoe is a math major,,18310,7,know_neg,Critical,,
35,condition1,0.93,How certain is Nicole that Mary isn't pregnant?,0.92,mary,,0.18483221476510103,Mary is taking a prenatal yoga class,,21550,8,inform_neg,Critical,,
35,condition1,0.09,How certain is Paul that Grace visited her sister?,0.54,grace,,0.209855072463768,Grace loves her sister,,15578,9,say_neg,Critical,,
35,condition1,0.54,How certain is Stephanie that Jon walks to work?,0.41,jon,,0.7559375,Jon lives 2 blocks away from work,,13111,10,simple_polar,Critical,,
35,condition1,0.24,How certain is Angela that Charley speaks Spanish?,0.53,charley,,0.19536764705882304,Charley lives in Mexico,,14740,11,confirm_neg,Critical,,
35,condition1,0.52,How certain is Jacob that Ann dances ballet?,0.57,ballet,,0,Ballet is a type of dance,,14266,12,MC,Control,,
35,condition1,0.99,How certain is Christopher that Josie went on vacation to France?,1,josie,,0.73343949044586,Josie loves France,,23781,13,know_pos,Critical,,
35,condition1,0.65,How certain is Ruth that Jackson ran 10 miles?,0.51,jackson,,0.774965034965035,Jackson is training for a marathon,,11402,14,simple_polar,Critical,,
35,condition1,0.15,How certain is Rebecca that Tony had a drink last night?,0.79,tony,,0.252720588235294,Tony really likes to party with his friends,,15502,15,think_neg,Critical,,
35,condition1,0.82,How certain is Matthew that Owen shoveled snow last winter?,0.78,owen,,0.74648275862069,Owen lives in Chicago,,19085,16,think_pos,Critical,,
35,condition1,0.93,How certain is Nicholas that Jayden rented a car?,0.93,jayden,,0.687794117647059,Jayden's car is in the shop,,14034,17,inform_pos,Critical,,
35,condition1,0.36,How certain is Donna that Danny didn't eat the last cupcake?,0.59,danny,,0.697062937062937,Danny loves cake,,15364,18,confirm_pos,Critical,,
35,condition1,0.63,How certain is George that Carl's kids were in the garage?,0.65,garage,,0,Garages are used to store cars and other things,,13503,19,MC,Control,,
35,condition1,0.8,How certain is Donald that these muffins have blueberries in them?,0.77,muffins,,0,Muffins are sold at the bakery,,10004,20,MC,Control,,
35,condition1,0.43,How certain is Dorothy that this pizza doesn't have mushrooms on it?,0.43,pizza,,0,Pizza is sold at the pizzeria,,8508,21,MC,Control,,
46,condition1,,,,,Linda,,,Linda,0,1,,,bot_check,
46,condition1,0.49,How certain is Larry that Jack wasn't playing outside with the kids?,0.13,kids,,0,Many children like ice cream,,18672,4,MC,Control,,
46,condition1,0.62,How certain is Edward that Danny ate the last cupcake?,0.42,danny,,0.697062937062937,Danny loves cake,,17142,5,confirm_pos,Critical,,
46,condition1,0.44,How certain is Tyler that Ann doesn't dance ballet?,0,ballet,,0,Ballet is a type of dance,,10378,6,MC,Control,,
46,condition1,0.45,How certain is Kevin that Jayden rented a car?,0.52,jayden,,0.312205882352941,Jayden's car is in the shop,,12967,7,confirm_neg,Critical,,
46,condition1,0.62,How certain is Ronald that Tony had a drink last night?,0.26,tony,,0.747279411764706,Tony really likes to party with his friends,,11915,8,simple_polar,Critical,,
46,condition1,0.64,How certain is Donna that this pizza has mushrooms on it?,0.45,pizza,,0,Pizza is sold at the pizzeria,,10649,9,MC,Control,,
46,condition1,0,How certain is Kimberly that Josie went on vacation to France?,0.87,josie,,0.26656050955414,Josie loves France,,23083,10,think_neg,Critical,,
46,condition1,0.51,How certain is Laura that Grace visited her sister?,0.4,grace,,0.790144927536232,Grace loves her sister,,12495,11,simple_polar,Critical,,
46,condition1,1,How certain is Christopher that Jon walks to work?,0.91,jon,,0.7559375,Jon lives 2 blocks away from work,,13055,12,know_pos,Critical,,
46,condition1,0.73,How certain is Justin that Mary is pregnant?,0.78,mary,,0.815167785234899,Mary is taking a prenatal yoga class,,16007,13,say_pos,Critical,,
46,condition1,0.35,How certain is Matthew that Jackson didn't run 10 miles?,0.48,jackson,,0.774965034965035,Jackson is training for a marathon,,21753,14,think_pos,Critical,,
46,condition1,0.53,How certain is Brian that these muffins have blueberries in them?,0.16,muffins,,0,Muffins are sold at the bakery,,16547,15,MC,Control,,
46,condition1,0.96,How certain is Angela that Frank didn't get a cat?,0.93,frank,,0.32027972027971996,Frank has always wanted a pet,,15584,16,inform_neg,Critical,,
46,condition1,1,How certain is Jacob that Charley doesn't speak Spanish?,1,charley,,0.19536764705882304,Charley lives in Mexico,,12836,17,know_neg,Critical,,
46,condition1,0.39,How certain is Benjamin that Owen shoveled snow last winter?,0.57,owen,,0.25351724137931,Owen lives in Chicago,,16960,18,say_neg,Critical,,
46,condition1,0.59,How certain is Stephanie that Samantha has a new hat?,0.54,hat,,0,Hats are worn on the head,,11505,19,MC,Control,,
