"utterance","item","speaker_belief","prob"
"BARE-dances-?","Charley_H","dances",0.939932264981191
"BARE-dances-?","Charley_H","doesnt_dance",0.00379784592024966
"BARE-dances-?","Charley_H","uncertain",0.0562698890985592
"BARE-dances-?","Charley_L","dances",0.128162441583284
"BARE-dances-?","Charley_L","doesnt_dance",0.401441000426639
"BARE-dances-?","Charley_L","uncertain",0.470396557990077
"BARE-dances-?","Danny_H","dances",0.688687152762531
"BARE-dances-?","Danny_H","doesnt_dance",0.0057788510973786
"BARE-dances-?","Danny_H","uncertain",0.30553399614009
"BARE-dances-?","Danny_L","dances",0.176521831357794
"BARE-dances-?","Danny_L","doesnt_dance",0.440247077051033
"BARE-dances-?","Danny_L","uncertain",0.383231091591173
"BARE-dances-?","Emily_H","dances",0.381975485762589
"BARE-dances-?","Emily_H","doesnt_dance",0.058266273524981
"BARE-dances-?","Emily_H","uncertain",0.55975824071243
"BARE-dances-?","Emily_L","dances",0.107708165443686
"BARE-dances-?","Emily_L","doesnt_dance",0.704570683263336
"BARE-dances-?","Emily_L","uncertain",0.187721151292977
"BARE-dances-?","Emma_H","dances",0.766888534976733
"BARE-dances-?","Emma_H","doesnt_dance",0.00954547225310279
"BARE-dances-?","Emma_H","uncertain",0.223565992770164
"BARE-dances-?","Emma_L","dances",0.263949150511038
"BARE-dances-?","Emma_L","doesnt_dance",0.334637252817286
"BARE-dances-?","Emma_L","uncertain",0.401413596671677
"BARE-dances-?","Frank_H","dances",0.605958814035543
"BARE-dances-?","Frank_H","doesnt_dance",0.00998011877431554
"BARE-dances-?","Frank_H","uncertain",0.384061067190141
"BARE-dances-?","Frank_L","dances",0.183995895921934
"BARE-dances-?","Frank_L","doesnt_dance",0.700562240592938
"BARE-dances-?","Frank_L","uncertain",0.115441863485129
"BARE-dances-?","Grace_H","dances",0.901134287231153
"BARE-dances-?","Grace_H","doesnt_dance",0.0044071307607713
"BARE-dances-?","Grace_H","uncertain",0.0944585820080762
"BARE-dances-?","Grace_L","dances",0.252855342627936
"BARE-dances-?","Grace_L","doesnt_dance",0.482280837578055
"BARE-dances-?","Grace_L","uncertain",0.264863819794008
"BARE-dances-?","Isabella_H","dances",0.216595795131861
"BARE-dances-?","Isabella_H","doesnt_dance",0.0430987962225501
"BARE-dances-?","Isabella_H","uncertain",0.740305408645589
"BARE-dances-?","Isabella_L","dances",0.148414212827092
"BARE-dances-?","Isabella_L","doesnt_dance",0.715799019151004
"BARE-dances-?","Isabella_L","uncertain",0.135786768021904
